date	ouv	haut	bas	clot	vol	devise	
16/01/2025 00:00	156.04	158.14	155.06	157.2	1009475	EUR	
17/01/2025 00:00	157.96	161.46	157.82	160.78	1666035	EUR	
20/01/2025 00:00	160.74	164.38	160.64	163.42	1146737	EUR	
21/01/2025 00:00	163	163.48	161.64	163.3	974763	EUR	
22/01/2025 00:00	163.38	165.14	162.6	165.14	1057154	EUR	
23/01/2025 00:00	166	166.78	164.26	166.66	870632	EUR	
24/01/2025 00:00	167	167.48	166.24	167.04	716160	EUR	
27/01/2025 00:00	166.16	167.44	163.54	165.84	989379	EUR	
28/01/2025 00:00	165.16	167.44	164.96	166.8	794920	EUR	
29/01/2025 00:00	166.48	168.04	166.1	166.62	717277	EUR	
30/01/2025 00:00	167.04	167.34	165.94	166.32	1001567	EUR	
31/01/2025 00:00	167	169.06	166.42	167.12	1321658	EUR	
03/02/2025 00:00	163.54	166.78	162.82	166.58	1487261	EUR	
04/02/2025 00:00	167.66	168.12	165.08	166.02	717977	EUR	
05/02/2025 00:00	165	166.9	164.76	166.9	815149	EUR	
06/02/2025 00:00	167.36	168.1	166.2	167.9	787654	EUR	
07/02/2025 00:00	168.18	168.32	166.36	166.92	887988	EUR	
10/02/2025 00:00	166.44	167.88	166.26	167.44	785898	EUR	
11/02/2025 00:00	167.86	168.02	166.1	167.22	699736	EUR	
12/02/2025 00:00	168.32	169.9	167.68	169.88	775257	EUR	
13/02/2025 00:00	170	170.92	168.62	169.98	1234015	EUR	
14/02/2025 00:00	168.22	169.84	167.8	168.52	1054827	EUR	
17/02/2025 00:00	168.7	171.64	168.36	170.5	1214483	EUR	
18/02/2025 00:00	172	174	171.58	173	1260936	EUR	
19/02/2025 00:00	172.5	173.46	168.82	168.92	1349752	EUR	
20/02/2025 00:00	167.24	168.4	163.22	165.08	1911043	EUR	
21/02/2025 00:00	163	164.16	159.74	160	1839648	EUR	
24/02/2025 00:00	161.26	164.82	160.76	164.34	1166045	EUR	
25/02/2025 00:00	164.7	166.44	163.44	164.1	1111791	EUR	
26/02/2025 00:00	165	168.24	164.76	167.52	1066473	EUR	
27/02/2025 00:00	167.46	167.74	163.12	165.14	1237293	EUR	
28/02/2025 00:00	164.76	166.32	164.62	165.7	2890885	EUR	
03/03/2025 00:00	168	177.3	167.04	174.38	3087355	EUR	
04/03/2025 00:00	174.48	174.64	167.9	168.74	1762947	EUR	
05/03/2025 00:00	173	174.28	171.78	172.78	1467081	EUR	
06/03/2025 00:00	175	175	168.36	173.06	1459640	EUR	
07/03/2025 00:00	174.76	174.76	168.54	169.56	1382893	EUR	
10/03/2025 00:00	170.58	171.64	163.08	163.12	1971321	EUR	
11/03/2025 00:00	165.08	165.4	161.52	163	1320618	EUR	
12/03/2025 00:00	164.86	167.9	163.54	164.1	1606967	EUR	
13/03/2025 00:00	164.98	165.04	162.22	162.22	1199586	EUR	
14/03/2025 00:00	162.04	169.38	161.68	169.2	1467306	EUR	
17/03/2025 00:00	169.9	171.84	169.38	171.24	1064559	EUR	
18/03/2025 00:00	172	172.2	169.86	171.78	1300826	EUR	
19/03/2025 00:00	171.6	172.38	170	171.3	1076817	EUR	
20/03/2025 00:00	170.58	171.04	165.34	167.36	1092316	EUR	
21/03/2025 00:00	166.1	167.48	164.88	166.64	2190245	EUR	
24/03/2025 00:00	168.3	169.28	166.18	167.22	728663	EUR	
25/03/2025 00:00	167.36	172.32	167.22	172.32	960604	EUR	
26/03/2025 00:00	172.86	173.3	169.32	170.54	819111	EUR	
27/03/2025 00:00	168.04	169.64	166.24	168.7	967418	EUR	
28/03/2025 00:00	167.18	167.98	165.32	166.26	996791	EUR	
31/03/2025 00:00	164.68	164.98	161.6	162.78	1228522	EUR	
01/04/2025 00:00	163.56	168.06	163.16	168.06	1195927	EUR	
02/04/2025 00:00	167	167.72	160.76	162.74	1375077	EUR	
03/04/2025 00:00	155.98	159.22	153.7	158.02	1962518	EUR	
04/04/2025 00:00	157.14	157.28	144.74	146.9	2910456	EUR	
07/04/2025 00:00	132.22	150	126.4	136.8	3896651	EUR	
08/04/2025 00:00	139.4	142.94	138	140.24	2026118	EUR	
09/04/2025 00:00	135.98	138.02	131.52	133.48	2103551	EUR	
10/04/2025 00:00	150.2	150.28	139.2	139.46	2556537	EUR	
11/04/2025 00:00	141.6	141.68	133.36	134.86	1972263	EUR	
14/04/2025 00:00	139.3	139.84	137.32	139.26	1621814	EUR	
15/04/2025 00:00	139	141.52	138.48	140.94	1815889	EUR	
16/04/2025 00:00	140.18	140.52	138.56	140.5	1490715	EUR	
17/04/2025 00:00	140.64	140.86	135.38	136.46	1563744	EUR	
22/04/2025 00:00	133.82	133.82	131.9	133.06	1951154	EUR	
23/04/2025 00:00	135.5	141.5	135.2	138.84	1840997	EUR	
24/04/2025 00:00	138.84	139.3	136.82	137.26	1392522	EUR	
25/04/2025 00:00	139.5	141.58	138.9	140.6	1438906	EUR	
28/04/2025 00:00	142.66	145.98	142.42	144.32	1549982	EUR	
29/04/2025 00:00	145.08	146.12	143.5	143.98	1152085	EUR	
30/04/2025 00:00	143.98	147.54	143.86	147.14	1978356	EUR	
02/05/2025 00:00	152.88	155.46	151.28	154.96	2677637	EUR	
05/05/2025 00:00	155.6	158.86	155.4	158.28	1002487	EUR	
06/05/2025 00:00	159	159.2	153.48	156.64	1209920	EUR	
07/05/2025 00:00	156.88	157.1	153.76	154.58	1225512	EUR	
08/05/2025 00:00	155.84	158.62	155.48	158.38	1162025	EUR	
09/05/2025 00:00	159.12	159.58	158.02	158.44	954528	EUR	
12/05/2025 00:00	158.82	159.54	154.46	158.58	1268535	EUR	
13/05/2025 00:00	158.4	161.1	158.14	161.1	850760	EUR	
14/05/2025 00:00	161.58	161.9	158.22	159.5	936741	EUR	
15/05/2025 00:00	159.04	159.7	158.38	159.22	900253	EUR	
16/05/2025 00:00	159.46	161.52	158.72	160.24	1191755	EUR	
19/05/2025 00:00	159.1	162.16	158.46	161.9	950735	EUR	
20/05/2025 00:00	162.64	162.72	161.42	161.84	664330	EUR	
21/05/2025 00:00	160.84	162.92	160.78	162.1	723400	EUR	
22/05/2025 00:00	160.66	161.98	159.98	161.26	613492	EUR	
23/05/2025 00:00	161.24	162.7	154.08	157.3	1355434	EUR	
26/05/2025 00:00	161.24	161.44	154.08	160.22	556583	EUR	
27/05/2025 00:00	160.46	163.26	160.46	162.2	723948	EUR	
28/05/2025 00:00	162.5	165.76	161.86	162.34	1337656	EUR	
29/05/2025 00:00	164.92	165.4	162.48	162.56	611176	EUR	
30/05/2025 00:00	162.54	163.96	162.08	162.08	1136818	EUR	
02/06/2025 00:00	161.94	163	159.88	162.58	707780	EUR	
03/06/2025 00:00	163.72	166.44	161.22	166.44	1192092	EUR	
04/06/2025 00:00	169.92	173.8	168.86	170.18	1551623	EUR	
05/06/2025 00:00	169.5	169.9	165.5	165.5	1228318	EUR	
06/06/2025 00:00	165	165.88	163.8	165.34	869676	EUR	
09/06/2025 00:00	165.46	166.18	164.58	165.5	811278	EUR	
10/06/2025 00:00	165.48	166.7	163.92	163.92	764626	EUR	
11/06/2025 00:00	163.88	165.8	163.22	163.62	904579	EUR	
12/06/2025 00:00	162.22	163.72	160.86	162.8	927131	EUR	
13/06/2025 00:00	160.1	162.32	160	161.58	1067485	EUR	
16/06/2025 00:00	162.48	163.08	161.56	162.02	765866	EUR	
17/06/2025 00:00	160.74	161.6	159.12	160.74	979019	EUR	
18/06/2025 00:00	161.22	166.96	161.22	162.98	1249445	EUR	
19/06/2025 00:00	162.6	163.38	161.34	161.76	592042	EUR	
20/06/2025 00:00	163	168.68	162.44	167.5	2619645	EUR	
23/06/2025 00:00	166.52	168.32	165.32	167	1282919	EUR	
24/06/2025 00:00	170.18	172.06	168.82	170.6	1501152	EUR	
25/06/2025 00:00	172	172	170.02	171.54	1423956	EUR	
26/06/2025 00:00	172.8	176.1	171.48	176.1	2026487	EUR	
27/06/2025 00:00	178.12	178.66	175.88	178.2	1780555	EUR	
30/06/2025 00:00	178.42	178.54	176.9	177.26	1121933	EUR	
01/07/2025 00:00	177.54	177.82	171.9	172.32	916384	EUR	
